,delta_time
1100,6
1101,8
1102,6
1103,13
1104,15
1105,12
1106,15
1107,7
1108,6
1109,13
1110,7
1111,19
1112,6
1113,18
1114,22
1115,8
1116,15
1117,8
1118,8
1119,14
1120,5
1121,28
1122,14
1123,18
1124,6
1125,34
1126,34
1127,13
1128,6
1129,11
1130,6
1131,91
1132,12
1133,12
1134,4
1135,5
1136,10
1137,7
1138,13
1139,20
1140,10
1141,14
1142,12
1143,14
1144,20
1145,14
1146,11
1147,12
1148,18
1149,14
1150,14
1151,5
1152,7
1153,8
1154,4
1155,5
1156,7
1157,17
1158,10
1159,17
1160,10
1161,6
1162,7
1163,26
1164,8
1165,17
1166,26
1167,14
1168,12
1169,6
1170,17
1171,9
1172,12
1173,11
1174,6
1175,12
1176,13
1177,131
1178,10
1179,12
1180,11
1181,7
1182,11
1183,18
1184,3
1185,11
1186,31
1187,9
1188,4
1189,4
1190,10
1191,48
1192,10
1193,5
1194,4
1195,16
1196,18
1197,11
1198,10
1199,6
1200,4
1201,17
1202,6
1203,25
1204,26
1205,10
1206,3
1207,9
1208,13
1209,10
1210,19
1211,10
1212,18
1213,9
1214,13
1215,15
1216,19
1217,12
1218,10
1219,5
1220,13
1221,6
1222,17
1223,30
1224,11
1225,35
1226,6
1227,17
1228,10
1229,10
1230,28
1231,9
1232,18
1233,11
1234,10
1235,13
1236,4
1237,12
1238,8
1239,12
1240,18
1241,6
1242,11
1243,9
1244,5
1245,25
1246,11
1247,4
1248,8
1249,9
1250,8
1251,24
1252,10
1253,3
1254,5
1255,8
1256,11
1257,11
1258,10
1259,12
1260,8
1261,19
1262,6
1263,16
1264,9
1265,8
1266,11
1267,10
1268,9
1269,4
1270,4
1271,15
1272,5
1273,18
1274,15
1275,11
1276,11
1277,26
1278,5
1279,26
1280,6
1281,5
1282,15
1283,10
1284,16
1285,15
1286,5
1287,10
1288,9
1289,45
1290,17
1291,9
1292,12
1293,5
1294,3
1295,11
1296,8
1297,11
1298,5
1299,5
1300,17
1301,5
1302,10
1303,12
1304,18
1305,8
1306,17
1307,8
1308,4
1309,8
1310,11
1311,9
1312,17
1313,10
1314,10
1315,18
1316,4
1317,8
1318,3
1319,8
1320,7
1321,8
1322,14
1323,3
1324,8
1325,8
1326,9
1327,8
1328,8
1329,11
1330,9
1331,45
1332,7
1333,10
1334,32
1335,17
1336,7
1337,10
1338,9
1339,7
1340,6
1341,3
1342,17
1343,35
1344,9
1345,8
1346,15
1347,10
1348,10
1349,7
1350,11
1351,14
1352,15
1353,8
1354,14
1355,7
1356,8
1357,24
1358,7
1359,5
1360,15
1361,15
1362,9
1363,11
1364,17
1365,11
1366,15
1367,15
1368,3
1369,8
1370,8
1371,7
1372,7
1373,4
1374,7
1375,23
1376,10
1377,10
1378,11
1379,11
1380,11
1381,14
1382,15
1383,7
1384,11
1385,9
1386,15
1387,8
1388,7
1389,3
1390,15
1391,9
1392,14
1393,15
1394,6
1395,8
1396,7
1397,7
1398,9
1399,7
1400,7
1401,9
1402,6
1403,6
1404,16
1405,14
1406,7
1407,24
1408,6
1409,9
1410,6
1411,7
1412,7
1413,7
1414,10
1415,5
1416,10
1417,3
1418,9
1419,8
1420,27
1421,10
1422,3
1423,10
1424,4
1425,6
1426,16
1427,8
1428,10
1429,8
1430,22
1431,2
1432,14
1433,4
1434,8
1435,6
1436,13
1437,9
1438,8
1439,56
1440,9
1441,6
1442,6
1443,16
1444,10
1445,15
1446,6
1447,17
1448,13
1449,6
1450,6
1451,24
1452,8
1453,13
1454,7
1455,14
1456,7
1457,9
1458,14
1459,14
1460,23
1461,8
1462,10
1463,9
1464,9
1465,3
1466,9
1467,10
1468,13
1469,6
1470,8
1471,6
1472,10
1473,10
1474,16
1475,17
1476,24
1477,9
1478,10
1479,14
1480,16
1481,8
1482,7
1483,9
1484,17
1485,13
1486,6
1487,9
1488,7
1489,4
1490,9
1491,22
1492,7
1493,7
1494,8
1495,7
1496,7
1497,31
1498,27
1499,13
1500,30
1501,14
1502,13
1503,12
1504,8
1505,7
1506,12
1507,12
1508,15
1509,12
1510,5
1511,3
1512,15
1513,16
1514,16
1515,12
1516,2
1517,13
1518,9
1519,13
1520,13
1521,13
1522,6
1523,6
1524,8
1525,6
