,delta_time
57372,30
57373,30
57374,24
57375,36
57376,21
57377,11
57378,23
57379,32
57380,15
57381,21
57382,17
57383,3
57384,22
57385,25
57386,28
57387,18
57388,10
57389,11
57390,9
57391,18
57392,28
57393,33
57394,17
57395,45
57396,15
57397,28
57398,18
57399,32
57400,42
57401,14
57402,2
57403,10
57404,11
57405,18
57406,10
57407,11
57408,18
57409,11
57410,11
57411,24
57412,21
57413,15
57414,7
57415,23
57416,13
57417,29
57418,29
57419,35
57420,23
57421,4
57422,9
57423,22
57424,42
57425,37
57426,29
57427,15
57428,58
57429,58
57430,12
57431,7
57432,13
57433,7
57434,36
57435,12
57436,10
57437,5
57438,22
57439,33
57440,8
57441,11
57442,3
57443,29
57444,15
57445,11
57446,5
57447,31
57448,11
57449,15
57450,21
57451,11
57452,23
57453,32
57454,10
57455,22
57456,46
57457,18
57458,9
57459,60
57460,10
57461,15
57462,2
57463,29
57464,15
57465,9
57466,4
57467,29
57468,11
57469,8
57470,44
57471,24
57472,46
57473,16
57474,18
57475,15
57476,21
57477,35
57478,14
57479,9
57480,24
57481,33
57482,5
57483,10
57484,23
57485,12
57486,28
57487,28
57488,35
57489,31
57490,17
57491,29
57492,19
57493,15
57494,10
57495,30
57496,4
57497,11
57498,16
57499,30
57500,23
57501,4
57502,8
57503,7
57504,21
57505,23
57506,18
57507,35
57508,4
57509,49
57510,30
57511,17
57512,28
57513,28
57514,43
57515,11
57516,7
57517,15
57518,18
57519,44
57520,30
57521,24
57522,8
57523,4
57524,21
57525,44
57526,30
57527,3
57528,8
57529,14
57530,15
57531,15
57532,8
57533,2
57534,36
57535,25
57536,9
57537,4
57538,36
57539,4
57540,22
57541,4
57542,24
57543,36
57544,28
57545,2
57546,10
57547,20
57548,23
57549,4
57550,8
57551,13
57552,34
57553,6
57554,10
57555,14
57556,10
57557,17
57558,12
57559,10
57560,20
57561,29
57562,16
57563,2
57564,27
57565,8
57566,10
57567,28
57568,13
57569,27
57570,21
57571,3
57572,27
57573,3
57574,37
57575,29
57576,32
57577,1
57578,36
57579,10
57580,10
57581,27
57582,1
57583,13
57584,13
57585,32
57586,15
57587,28
57588,15
57589,3
57590,16
57591,14
57592,3
57593,27
57594,22
57595,9
57596,15
57597,18
57598,22
57599,13
57600,36
57601,8
57602,15
57603,43
57604,18
57605,22
57606,49
57607,16
57608,21
57609,2
57610,3
57611,14
57612,9
57613,17
57614,23
57615,11
57616,29
57617,20
57618,35
57619,22
57620,29
57621,2
57622,14
57623,9
57624,7
57625,11
57626,6
57627,7
57628,8
57629,8
57630,3
57631,22
57632,27
57633,28
57634,30
57635,1
57636,21
57637,36
57638,3
57639,17
57640,15
57641,28
57642,30
57643,46
57644,6
57645,18
57646,28
57647,17
57648,6
57649,4
57650,6
57651,15
57652,41
57653,41
57654,3
57655,15
57656,14
57657,35
57658,14
57659,9
57660,18
57661,17
57662,11
57663,9
57664,4
57665,18
57666,16
57667,3
57668,3
57669,29
57670,13
57671,41
57672,27
57673,27
57674,28
57675,22
57676,3
57677,41
57678,23
57679,23
57680,30
57681,38
57682,9
57683,43
57684,30
57685,57
57686,14
57687,16
57688,20
57689,16
57690,2
57691,7
57692,13
57693,2
57694,9
57695,13
57696,13
57697,8
57698,28
57699,38
57700,8
57701,7
57702,15
57703,31
57704,29
57705,27
57706,51
57707,16
57708,14
57709,3
57710,8
57711,10
57712,34
57713,21
57714,11
57715,14
57716,2
57717,7
57718,14
57719,22
57720,10
57721,22
57722,4
57723,41
57724,7
57725,13
57726,21
57727,29
57728,10
57729,10
57730,8
57731,30
57732,8
57733,21
57734,38
57735,45
57736,20
57737,9
57738,43
57739,12
57740,16
57741,11
57742,6
57743,14
57744,8
57745,17
57746,16
57747,43
57748,29
57749,15
57750,31
57751,8
57752,17
57753,23
57754,3
57755,13
57756,8
57757,22
57758,10
57759,13
57760,2
57761,14
57762,11
57763,7
57764,27
57765,22
57766,22
57767,16
57768,10
57769,14
57770,6
57771,8
57772,44
57773,22
57774,7
57775,11
57776,8
57777,14
57778,7
57779,20
57780,9
57781,7
57782,29
57783,28
57784,15
57785,13
57786,44
57787,27
57788,31
57789,15
57790,16
57791,9
57792,14
57793,34
57794,34
57795,36
57796,8
57797,7
57798,23
57799,17
57800,2
57801,22
57802,18
57803,14
57804,13
57805,14
57806,22
57807,9
57808,7
57809,104
57810,11
57811,29
57812,8
57813,13
57814,9
57815,7
57816,35
57817,43
57818,38
57819,6
57820,16
57821,57
57822,20
57823,33
57824,9
57825,16
57826,8
57827,37
57828,16
57829,8
57830,11
57831,5
57832,22
57833,31
57834,14
57835,15
57836,51
57837,21
57838,16
57839,24
57840,28
57841,4
57842,8
57843,13
57844,23
57845,2
57846,13
57847,20
57848,15
57849,16
57850,7
57851,13
57852,7
57853,29
57854,19
57855,27
57856,54
57857,21
57858,1
57859,5
57860,9
57861,40
57862,17
57863,8
57864,34
57865,19
57866,21
57867,3
57868,36
57869,13
57870,1
57871,26
57872,13
57873,6
57874,28
57875,10
57876,13
57877,14
57878,6
57879,21
57880,41
57881,26
57882,7
57883,15
57884,16
57885,16
57886,26
57887,12
57888,40
57889,12
57890,8
57891,9
57892,2
57893,10
57894,22
57895,14
57896,30
57897,33
57898,19
57899,35
57900,19
57901,2
57902,8
57903,23
57904,20
57905,31
57906,15
57907,15
57908,33
57909,12
57910,61
57911,8
57912,41
57913,19
57914,9
57915,29
57916,7
57917,27
57918,17
57919,10
57920,9
57921,13
57922,41
57923,5
57924,2
57925,29
57926,41
57927,21
57928,6
57929,26
57930,8
57931,36
57932,2
57933,2
57934,3
57935,14
57936,8
57937,6
57938,35
57939,8
57940,8
57941,13
57942,13
57943,6
57944,2
57945,13
57946,14
57947,36
57948,11
57949,19
57950,19
57951,6
57952,26
57953,12
57954,11
57955,13
57956,68
57957,27
57958,9
57959,10
57960,9
57961,14
57962,35
57963,13
57964,12
57965,26
57966,7
57967,8
57968,15
57969,26
57970,14
57971,20
57972,9
57973,14
57974,8
57975,7
57976,13
57977,15
57978,7
57979,7
57980,7
57981,19
57982,34
57983,35
57984,5
57985,21
57986,8
57987,35
57988,3
57989,14
57990,2
57991,42
57992,47
57993,12
57994,13
57995,15
57996,16
57997,14
57998,8
57999,10
58000,13
58001,20
58002,12
58003,28
58004,35
58005,8
58006,27
58007,14
58008,8
58009,8
58010,41
58011,12
58012,15
58013,8
58014,7
58015,86
58016,15
58017,20
58018,21
58019,19
58020,22
58021,13
58022,24
58023,16
58024,33
58025,19
58026,15
58027,12
58028,16
58029,15
58030,2
58031,9
58032,31
58033,34
58034,35
58035,7
58036,36
58037,40
58038,24
58039,8
58040,2
58041,6
58042,22
58043,39
58044,48
58045,15
58046,20
58047,28
58048,22
58049,6
58050,34
58051,34
58052,6
58053,12
58054,9
58055,12
58056,8
58057,28
58058,41
58059,25
58060,11
58061,27
58062,5
58063,35
58064,8
58065,9
58066,12
58067,6
58068,51
58069,13
58070,11
58071,7
58072,13
58073,3
58074,7
58075,12
58076,3
58077,1
58078,13
58079,29
58080,19
58081,8
58082,7
58083,13
58084,11
58085,14
58086,33
58087,30
58088,8
58089,6
58090,8
58091,28
58092,8
58093,25
58094,12
58095,14
58096,9
58097,15
58098,13
58099,12
58100,25
58101,11
58102,15
58103,18
58104,8
58105,50
58106,6
58107,12
58108,26
58109,9
58110,18
58111,16
58112,3
58113,21
58114,7
58115,30
58116,13
58117,40
58118,50
58119,50
58120,21
58121,21
58122,36
58123,8
58124,7
58125,20
58126,4
58127,56
58128,6
58129,9
58130,15
58131,18
58132,32
58133,14
58134,12
58135,8
58136,12
58137,25
58138,20
58139,13
58140,25
58141,22
58142,10
58143,15
58144,15
58145,35
58146,12
58147,21
58148,27
58149,6
58150,12
58151,42
58152,15
58153,14
58154,6
58155,8
58156,30
58157,41
58158,12
58159,12
58160,33
58161,6
58162,55
58163,11
58164,43
58165,26
58166,7
58167,35
58168,21
58169,7
58170,35
58171,8
58172,6
58173,12
58174,8
58175,28
58176,19
58177,17
58178,15
58179,18
58180,8
58181,12
58182,11
58183,13
58184,19
58185,19
58186,6
58187,12
58188,4
58189,19
58190,4
58191,8
58192,9
58193,7
58194,8
58195,21
58196,18
58197,26
58198,34
58199,8
58200,8
58201,6
58202,12
58203,11
58204,12
58205,13
58206,6
58207,29
58208,29
58209,28
58210,18
58211,21
58212,8
58213,28
58214,21
58215,13
58216,5
58217,7
58218,21
58219,8
58220,10
58221,16
58222,21
58223,34
58224,15
58225,8
58226,25
58227,18
58228,26
58229,19
58230,50
58231,18
58232,8
58233,29
58234,40
58235,7
58236,11
58237,12
58238,21
58239,6
58240,18
58241,13
58242,5
58243,11
58244,39
58245,13
58246,21
58247,5
58248,11
58249,41
58250,19
58251,11
58252,39
58253,8
58254,3
58255,12
58256,8
58257,13
58258,26
58259,20
58260,7
58261,19
58262,15
58263,21
58264,30
58265,15
58266,12
58267,18
58268,12
58269,18
58270,13
58271,13
58272,47
58273,7
58274,25
58275,10
58276,18
58277,15
58278,5
58279,13
58280,19
58281,13
58282,34
58283,19
58284,32
58285,34
58286,13
58287,13
58288,14
58289,42
58290,5
58291,10
58292,22
58293,4
58294,6
58295,12
58296,33
58297,42
58298,14
58299,15
58300,20
58301,7
58302,35
58303,11
58304,5
58305,6
58306,25
58307,13
58308,11
58309,7
58310,6
58311,28
58312,1
58313,13
58314,32
58315,12
58316,12
58317,11
58318,5
58319,34
58320,35
58321,20
58322,10
58323,8
58324,20
58325,12
58326,32
58327,32
58328,17
58329,38
58330,17
58331,29
58332,7
58333,2
58334,13
58335,12
58336,13
58337,14
58338,14
58339,18
58340,10
58341,25
58342,26
58343,6
58344,19
58345,11
58346,10
58347,6
58348,12
58349,14
58350,32
58351,22
58352,26
58353,14
58354,38
58355,46
58356,33
58357,7
58358,18
58359,14
58360,18
58361,11
58362,8
58363,2
58364,11
58365,63
58366,17
58367,17
58368,24
58369,26
58370,11
58371,15
58372,10
58373,25
58374,5
58375,13
58376,20
58377,28
58378,14
58379,17
58380,28
58381,7
58382,20
58383,10
58384,13
58385,39
58386,11
58387,12
58388,5
58389,28
58390,7
58391,8
58392,6
58393,27
58394,32
58395,10
58396,27
58397,6
58398,12
58399,6
58400,40
58401,8
58402,18
58403,12
58404,24
58405,18
58406,10
58407,12
58408,6
58409,7
58410,18
58411,21
58412,52
58413,25
58414,18
58415,12
58416,12
58417,8
58418,20
58419,29
58420,32
58421,42
58422,13
58423,14
58424,27
58425,26
58426,26
58427,31
58428,19
58429,5
58430,41
58431,14
58432,27
58433,24
58434,12
58435,41
58436,33
58437,28
58438,12
58439,7
58440,7
58441,40
58442,14
58443,5
58444,12
58445,14
58446,27
58447,12
58448,39
58449,17
58450,19
58451,21
58452,9
58453,12
58454,19
58455,14
58456,8
58457,48
58458,6
58459,32
58460,22
58461,25
58462,8
58463,17
58464,25
58465,13
58466,12
58467,24
58468,7
58469,66
58470,28
58471,20
58472,26
58473,11
58474,32
58475,11
58476,7
58477,14
58478,36
58479,18
58480,11
58481,17
58482,18
58483,14
58484,18
58485,11
58486,11
58487,34
58488,28
58489,21
58490,32
58491,6
58492,7
58493,11
58494,19
58495,11
58496,16
58497,34
58498,19
58499,13
58500,83
58501,17
58502,11
58503,11
58504,6
58505,3
58506,7
58507,35
58508,39
58509,23
58510,6
58511,6
58512,33
58513,25
58514,27
58515,9
58516,24
58517,41
58518,11
58519,24
58520,11
58521,10
58522,31
58523,5
58524,9
58525,18
58526,23
58527,8
58528,6
58529,24
58530,4
58531,6
58532,24
58533,9
58534,18
58535,5
58536,9
58537,9
58538,32
58539,31
58540,47
58541,10
58542,24
58543,27
58544,10
58545,10
58546,5
58547,6
58548,9
58549,25
58550,13
58551,10
58552,5
58553,9
58554,12
58555,62
58556,12
58557,5
58558,10
58559,12
58560,5
58561,24
58562,16
58563,27
58564,40
58565,13
58566,6
58567,18
58568,5
58569,10
58570,28
58571,19
58572,16
58573,12
58574,17
58575,18
58576,17
58577,26
58578,18
58579,14
58580,10
58581,7
58582,18
58583,26
58584,10
58585,24
58586,17
58587,5
58588,24
58589,12
58590,24
58591,6
58592,49
58593,34
58594,10
58595,17
58596,38
58597,18
58598,6
58599,30
58600,25
58601,39
58602,14
58603,12
58604,33
58605,17
58606,12
58607,13
58608,11
58609,24
58610,12
58611,25
58612,18
58613,23
58614,4
58615,26
58616,50
58617,26
58618,6
58619,8
58620,57
58621,32
58622,21
58623,16
58624,10
58625,24
58626,23
58627,14
58628,19
58629,10
58630,37
58631,36
58632,11
58633,16
58634,17
58635,17
58636,27
58637,19
58638,5
58639,19
58640,18
58641,9
58642,16
58643,51
58644,31
58645,14
58646,4
58647,16
58648,11
58649,18
58650,6
58651,37
58652,12
58653,6
58654,59
58655,11
58656,41
58657,25
58658,24
58659,18
58660,11
58661,38
58662,13
58663,15
58664,18
58665,23
58666,9
58667,5
58668,18
58669,23
58670,10
58671,9
58672,8
58673,31
58674,12
58675,4
58676,23
58677,12
58678,38
58679,17
58680,8
58681,33
58682,33
58683,10
58684,27
58685,10
58686,29
58687,10
58688,23
58689,5
58690,31
58691,17
58692,10
58693,36
58694,17
58695,8
58696,16
58697,22
58698,3
58699,4
58700,23
58701,65
58702,8
58703,8
58704,33
58705,24
58706,5
58707,17
58708,11
58709,12
58710,5
58711,4
58712,10
58713,4
58714,5
58715,52
58716,8
58717,12
58718,9
58719,19
58720,10
58721,11
58722,26
58723,17
58724,30
58725,9
58726,30
58727,24
58728,8
58729,3
58730,11
58731,10
58732,23
58733,5
58734,18
58735,54
58736,5
58737,12
58738,8
58739,24
58740,9
58741,17
58742,6
58743,15
58744,8
58745,5
58746,37
58747,14
58748,11
58749,8
58750,18
58751,3
58752,23
58753,12
58754,37
58755,23
58756,8
58757,12
58758,27
58759,26
58760,11
58761,8
58762,9
58763,9
58764,23
58765,11
58766,10
58767,31
58768,5
58769,4
58770,9
58771,3
58772,9
58773,31
58774,12
58775,46
58776,25
58777,9
58778,35
58779,15
58780,5
58781,16
58782,31
58783,25
58784,11
58785,17
58786,17
58787,25
58788,19
58789,17
58790,20
58791,3
58792,8
58793,4
58794,5
58795,5
58796,30
58797,30
58798,8
58799,17
58800,37
58801,23
58802,8
58803,11
58804,44
58805,9
58806,28
58807,45
58808,58
58809,28
58810,6
58811,23
58812,5
58813,6
58814,43
58815,8
58816,16
58817,17
58818,24
58819,15
58820,31
58821,15
58822,3
58823,31
58824,46
58825,3
58826,34
58827,16
58828,30
58829,4
58830,3
58831,35
58832,13
58833,8
58834,11
58835,18
58836,25
58837,9
58838,8
58839,27
58840,5
58841,10
58842,29
58843,5
58844,5
58845,16
58846,46
58847,16
58848,11
58849,10
58850,32
58851,10
58852,36
58853,4
58854,27
58855,17
58856,20
58857,6
58858,13
58859,9
58860,10
58861,16
58862,4
58863,24
58864,12
58865,6
58866,9
58867,22
58868,13
58869,5
58870,30
58871,29
58872,12
58873,9
58874,10
58875,20
58876,43
58877,30
58878,31
58879,5
58880,3
58881,9
58882,51
58883,4
58884,9
58885,41
58886,15
58887,7
58888,28
58889,5
58890,11
58891,23
58892,5
58893,10
58894,22
58895,22
58896,17
58897,14
58898,8
58899,22
58900,22
58901,1
58902,29
58903,30
58904,5
58905,24
58906,37
58907,7
58908,21
58909,5
58910,17
58911,3
58912,2
58913,14
58914,9
58915,39
58916,14
58917,21
58918,10
58919,10
58920,43
58921,9
58922,5
58923,28
58924,22
58925,23
58926,17
58927,16
58928,8
58929,5
58930,19
58931,22
58932,8
58933,2
58934,2
58935,8
58936,10
58937,4
58938,46
58939,16
58940,23
58941,21
58942,5
58943,31
58944,30
58945,22
58946,14
58947,24
58948,5
58949,30
58950,3
58951,35
58952,19
58953,9
58954,15
58955,10
58956,9
58957,11
58958,15
58959,16
58960,10
58961,43
58962,8
58963,43
58964,63
58965,35
58966,9
58967,23
58968,16
58969,17
58970,33
58971,9
58972,16
58973,8
58974,10
58975,2
58976,3
58977,14
58978,60
58979,52
58980,3
58981,15
58982,43
58983,21
58984,7
58985,16
58986,3
58987,4
58988,4
58989,8
58990,22
58991,16
58992,30
58993,29
58994,36
58995,16
58996,29
58997,54
58998,44
58999,3
59000,29
59001,17
59002,11
59003,17
59004,24
59005,9
59006,8
59007,6
59008,17
59009,8
59010,22
59011,2
59012,36
59013,2
59014,10
59015,10
59016,51
59017,26
59018,31
59019,4
59020,11
59021,3
59022,40
59023,39
59024,22
59025,8
59026,10
59027,9
59028,28
59029,21
59030,5
59031,3
59032,8
59033,16
59034,15
59035,15
59036,7
59037,35
59038,25
59039,14
59040,29
59041,32
59042,26
59043,3
59044,9
59045,26
59046,17
59047,21
59048,9
59049,9
59050,7
59051,38
59052,15
59053,21
59054,17
59055,16
59056,30
59057,10
59058,14
59059,28
59060,56
59061,3
59062,32
59063,25
59064,16
59065,11
59066,28
59067,26
59068,5
59069,14
59070,46
59071,4
59072,15
59073,25
59074,18
59075,35
59076,17
59077,30
59078,22
59079,4
59080,2
59081,14
59082,12
59083,25
59084,2
59085,3
59086,23
59087,22
59088,9
59089,43
59090,21
59091,21
59092,23
59093,16
59094,10
59095,15
59096,35
59097,7
59098,5
59099,16
59100,8
59101,10
59102,30
59103,3
59104,14
59105,8
59106,30
59107,37
59108,20
59109,20
59110,21
59111,16
59112,29
59113,14
59114,3
59115,31
59116,6
59117,21
59118,14
59119,8
59120,24
59121,31
59122,31
59123,3
59124,20
59125,11
59126,3
59127,37
59128,6
59129,24
59130,31
59131,10
59132,6
59133,27
59134,13
59135,6
59136,13
59137,5
59138,7
59139,3
59140,9
59141,9
59142,27
59143,24
59144,51
59145,20
59146,8
59147,15
59148,27
59149,22
59150,10
59151,13
59152,13
59153,14
59154,16
59155,15
59156,10
59157,14
59158,16
59159,21
59160,27
59161,22
59162,36
59163,3
59164,6
59165,24
59166,23
59167,11
59168,8
59169,21
59170,20
59171,41
59172,10
59173,2
59174,15
59175,37
59176,15
59177,15
59178,24
59179,14
59180,9
59181,10
59182,4
59183,6
59184,17
59185,3
59186,7
59187,21
59188,23
59189,10
59190,32
59191,21
59192,16
59193,6
59194,20
59195,13
59196,20
59197,23
59198,10
59199,2
59200,28
59201,4
59202,14
59203,10
59204,8
59205,4
59206,21
59207,5
59208,6
59209,13
59210,6
59211,6
59212,13
59213,9
59214,24
59215,3
59216,38
59217,13
59218,14
59219,56
59220,35
59221,22
59222,14
59223,4
59224,15
59225,6
59226,16
59227,7
59228,24
59229,32
59230,13
59231,9
59232,27
59233,14
59234,22
59235,22
59236,15
59237,14
59238,21
59239,3
59240,29
59241,7
59242,7
59243,6
59244,9
59245,23
59246,14
59247,24
59248,29
59249,21
59250,41
59251,8
59252,47
59253,22
59254,7
59255,15
59256,16
59257,23
59258,28
59259,8
59260,10
59261,37
59262,4
59263,22
59264,21
59265,16
59266,15
59267,7
59268,39
59269,14
59270,16
59271,8
59272,20
59273,10
59274,8
59275,7
59276,3
59277,23
59278,6
59279,8
59280,7
59281,10
59282,8
59283,7
59284,8
59285,3
59286,6
59287,50
59288,3
59289,23
59290,22
59291,6
59292,15
59293,13
59294,9
59295,10
59296,24
59297,21
59298,22
59299,15
59300,35
59301,37
59302,9
59303,20
59304,22
59305,16
59306,6
59307,35
59308,6
59309,7
59310,22
59311,65
59312,12
59313,2
59314,33
59315,13
59316,21
59317,9
59318,15
59319,13
59320,21
59321,47
59322,4
59323,9
59324,26
59325,1
59326,2
59327,19
59328,42
59329,13
59330,20
59331,13
59332,9
59333,14
59334,9
59335,20
59336,1
59337,28
59338,15
59339,9
59340,14
59341,14
59342,28
59343,8
59344,42
59345,50
59346,6
59347,2
59348,15
59349,9
59350,14
59351,37
59352,5
59353,1
59354,2
59355,26
59356,2
59357,13
59358,3
59359,19
59360,20
59361,5
59362,20
59363,20
59364,14
59365,23
59366,8
59367,22
59368,28
59369,8
59370,2
59371,15
59372,19
59373,15
59374,12
59375,23
59376,8
59377,8
59378,1
59379,7
59380,20
59381,7
59382,6
59383,2
59384,43
59385,22
59386,22
59387,8
59388,21
59389,29
59390,8
59391,22
59392,22
59393,7
59394,7
59395,12
59396,24
59397,7
59398,26
59399,27
59400,5
59401,20
59402,15
59403,19
59404,9
59405,27
59406,40
59407,13
59408,7
59409,21
59410,7
59411,5
59412,6
59413,13
59414,28
59415,15
59416,7
59417,7
59418,40
59419,21
59420,20
59421,12
59422,3
59423,15
59424,19
59425,6
59426,7
59427,7
59428,26
59429,9
59430,22
59431,30
59432,19
59433,12
59434,7
59435,9
59436,33
59437,30
59438,35
59439,22
59440,3
59441,21
59442,29
59443,9
59444,26
59445,9
59446,23
59447,35
59448,12
59449,13
59450,27
59451,35
59452,22
59453,59
59454,35
59455,3
59456,13
59457,40
59458,26
59459,9
59460,13
59461,9
59462,50
59463,14
59464,6
59465,14
59466,5
59467,5
59468,36
59469,19
59470,23
59471,7
59472,47
59473,7
59474,12
59475,8
59476,20
59477,35
59478,14
59479,9
59480,20
59481,12
59482,6
59483,29
59484,27
59485,22
59486,23
59487,7
59488,42
59489,7
59490,9
59491,6
59492,13
59493,43
59494,8
59495,21
59496,12
59497,2
59498,5
59499,20
59500,7
59501,50
59502,41
59503,5
59504,6
59505,4
59506,34
59507,11
59508,6
59509,29
59510,27
59511,7
59512,28
59513,29
59514,3
59515,1
59516,11
59517,18
59518,21
59519,32
59520,5
59521,27
59522,4
59523,8
59524,18
59525,7
59526,7
59527,18
59528,25
59529,25
59530,5
59531,4
59532,14
59533,12
59534,5
59535,7
59536,13
59537,9
59538,6
59539,18
59540,28
59541,4
59542,20
59543,13
59544,43
59545,12
59546,12
59547,4
59548,22
59549,5
59550,23
59551,12
59552,1
59553,12
59554,9
59555,19
59556,36
59557,20
59558,8
59559,32
59560,13
59561,18
59562,9
59563,5
59564,28
59565,4
59566,6
59567,13
59568,6
59569,96
59570,25
59571,8
59572,41
59573,3
59574,20
59575,26
59576,12
59577,33
59578,9
59579,13
59580,33
59581,6
59582,33
59583,12
59584,3
59585,5
59586,13
59587,6
59588,14
59589,3
59590,11
59591,7
59592,18
59593,12
59594,7
59595,12
59596,5
59597,9
59598,1
59599,12
59600,62
59601,14
59602,8
59603,7
59604,3
59605,20
59606,40
59607,12
59608,39
59609,7
59610,14
59611,2
59612,13
59613,21
59614,7
59615,12
59616,12
59617,25
59618,22
59619,12
59620,8
59621,6
59622,32
59623,29
59624,29
59625,7
59626,13
59627,6
59628,46
59629,14
59630,40
59631,32
59632,6
59633,6
59634,26
59635,10
59636,14
59637,25
59638,19
59639,5
59640,18
59641,6
59642,9
59643,11
59644,49
59645,28
59646,54
59647,14
59648,5
59649,30
59650,26
59651,18
59652,18
59653,12
59654,13
59655,13
59656,3
59657,12
59658,9
59659,35
59660,22
59661,18
59662,19
59663,47
59664,41
59665,9
59666,27
59667,22
59668,4
59669,12
59670,4
59671,38
59672,9
59673,35
59674,29
59675,8
59676,7
59677,5
59678,18
59679,37
59680,5
59681,40
59682,18
59683,6
59684,7
59685,11
59686,26
59687,33
59688,5
59689,21
59690,31
59691,7
59692,20
59693,12
59694,18
59695,13
59696,21
59697,11
59698,4
59699,7
59700,34
59701,30
59702,12
59703,8
59704,11
59705,12
59706,29
59707,2
59708,6
59709,23
59710,14
59711,14
59712,5
59713,34
59714,29
59715,7
59716,6
59717,5
59718,20
59719,25
59720,8
59721,21
59722,18
59723,29
59724,11
59725,14
59726,20
59727,14
59728,14
59729,11
59730,8
59731,20
59732,21
59733,32
59734,14
59735,8
59736,12
59737,29
59738,19
59739,19
59740,21
59741,5
59742,14
59743,8
59744,26
59745,8
59746,5
59747,13
59748,5
59749,11
59750,14
59751,18
59752,21
59753,20
59754,11
59755,28
59756,49
59757,20
59758,5
59759,22
59760,36
59761,5
59762,25
59763,6
59764,36
59765,25
59766,6
59767,19
59768,5
59769,13
59770,18
59771,26
59772,6
59773,19
59774,17
59775,32
59776,5
59777,19
59778,11
59779,11
59780,7
59781,1
59782,1
59783,38
59784,10
59785,3
59786,3
59787,17
59788,11
59789,39
59790,3
59791,61
59792,5
59793,28
59794,4
59795,24
59796,28
59797,25
59798,8
59799,17
59800,7
59801,36
59802,28
59803,17
59804,12
59805,4
59806,20
59807,6
59808,18
59809,11
59810,13
59811,35
59812,39
59813,11
59814,13
59815,25
59816,25
59817,14
59818,6
59819,11
59820,4
59821,22
59822,10
59823,7
59824,13
59825,2
59826,7
59827,29
59828,34
59829,11
59830,17
59831,10
59832,12
59833,20
59834,11
59835,4
59836,11
59837,6
59838,34
59839,43
59840,4
59841,11
59842,24
59843,59
59844,24
59845,28
59846,39
59847,11
59848,5
59849,12
59850,7
59851,5
59852,13
59853,18
59854,4
59855,6
59856,10
59857,7
59858,26
59859,48
59860,33
59861,22
59862,11
59863,31
59864,20
59865,7
59866,38
59867,21
59868,31
59869,11
59870,7
59871,11
59872,30
59873,11
59874,6
59875,6
59876,5
59877,18
59878,32
59879,17
59880,18
59881,17
59882,25
59883,4
59884,26
59885,7
59886,7
59887,5
59888,21
59889,12
59890,4
59891,13
59892,20
59893,11
59894,11
59895,19
59896,11
59897,7
59898,11
59899,18
59900,11
59901,17
59902,17
59903,31
59904,7
59905,11
59906,31
59907,17
59908,7
59909,17
59910,21
59911,6
59912,7
59913,25
59914,13
59915,11
59916,13
59917,12
59918,35
59919,5
59920,25
59921,18
59922,26
59923,35
59924,50
59925,26
59926,7
59927,39
59928,5
59929,11
59930,6
59931,25
59932,20
59933,5
59934,17
59935,27
59936,27
59937,11
59938,13
59939,9
59940,11
59941,18
59942,7
59943,5
59944,17
59945,26
59946,18
59947,7
59948,16
59949,11
59950,18
59951,19
59952,33
59953,7
59954,5
59955,21
59956,21
59957,12
59958,10
59959,13
59960,25
59961,35
59962,5
59963,10
59964,24
59965,17
59966,19
59967,20
59968,12
59969,6
59970,17
59971,10
59972,11
59973,20
59974,22
59975,10
59976,13
59977,8
59978,13
59979,3
59980,17
59981,7
59982,28
59983,14
59984,25
59985,12
59986,17
59987,13
59988,4
59989,35
59990,17
59991,4
59992,11
59993,9
59994,35
59995,9
59996,10
59997,33
59998,20
59999,21
60000,11
60001,13
60002,24
60003,7
60004,27
60005,16
60006,25
60007,4
60008,30
60009,10
60010,42
60011,20
60012,19
60013,19
60014,4
60015,4
60016,16
60017,12
60018,17
60019,28
60020,6
60021,4
60022,10
60023,4
60024,59
60025,18
60026,68
60027,17
60028,7
60029,14
60030,24
60031,11
60032,11
60033,25
60034,9
60035,54
60036,16
60037,67
60038,18
60039,4
60040,16
60041,55
60042,49
60043,4
60044,6
60045,11
60046,30
60047,5
60048,37
60049,3
60050,33
60051,19
60052,10
60053,12
60054,21
60055,6
60056,23
60057,9
60058,41
60059,10
60060,19
60061,10
60062,7
60063,12
60064,16
60065,11
60066,17
60067,33
60068,11
60069,18
60070,10
60071,25
60072,23
60073,26
60074,30
60075,19
60076,11
60077,6
60078,25
60079,18
60080,16
60081,38
60082,5
60083,10
60084,11
60085,16
60086,46
60087,24
60088,20
60089,5
60090,17
60091,10
60092,16
60093,16
60094,17
60095,6
60096,4
60097,12
60098,19
60099,14
60100,16
60101,11
60102,11
60103,5
60104,33
60105,10
60106,4
60107,25
60108,34
60109,30
60110,5
60111,20
60112,28
60113,10
60114,25
60115,3
60116,12
60117,16
60118,21
60119,20
60120,4
60121,12
60122,6
60123,3
60124,4
60125,10
60126,16
60127,19
60128,16
60129,11
60130,16
60131,19
60132,34
60133,18
60134,11
60135,19
60136,10
60137,19
60138,6
60139,17
60140,17
60141,32
60142,11
60143,6
60144,10
60145,10
60146,4
60147,23
60148,20
60149,48
60150,5
60151,12
60152,11
60153,16
60154,7
60155,17
60156,17
60157,6
60158,16
60159,3
60160,12
60161,7
60162,12
60163,7
60164,24
60165,30
60166,17
60167,12
60168,32
60169,16
