,W,DDD,product_count,distance
231,2000,7503,2,0.0
232,200,1232,1,255.31294715186166
233,1400,8000,1,736.0753966596592
234,200,8000,1,14.755171435480081
235,200,1728,1,359.66329035275345
236,150,1600,1,283.6366114798041
237,1500,4480,1,521.705291984211
238,2500,27000,1,414.9743495299005
239,500,3000,1,88.9687175429348
240,1250,31500,1,358.3151555467772
241,1600,15925,1,611.7407602635402
242,7000,75250,1,89.74547838782331
243,1000,4901,1,83.39753243269611
244,90,1638,1,507.9502231089684
245,200,2448,1,613.4487497701904
246,1300,8000,2,858.0152733953254
247,2050,39401,1,792.4012491398114
248,150,2816,1,306.460694443357
249,200,10584,1,414.9743495299005
250,15600,40248,1,398.07907829151964
251,175,2880,1,338.4160264555736
252,700,4096,1,833.6858995906074
253,11113,76560,1,608.684483769634
254,1500,24480,1,839.8672856927336
255,100,1056,1,125.19965189134189
256,950,10608,1,133.178646868439
257,500,12000,3,0.0
258,1400,5376,1,15.860920661702124
259,550,8736,1,512.7672278684485
260,900,34656,1,795.9281034128461
261,550,8000,1,430.2029618827176
262,1200,8100,1,16.384028256539267
263,200,6992,1,910.3199177423467
264,1600,24000,1,411.6154512055896
265,400,1760,1,0.0
266,200,352,1,0.0
267,200,352,1,0.0
268,200,352,1,0.0
269,200,352,1,0.0
270,200,352,1,0.0
271,200,352,1,0.0
272,200,352,1,0.0
273,200,352,1,0.0
274,200,352,1,0.0
275,200,352,1,0.0
276,200,352,1,0.0
277,200,352,1,0.0
278,200,352,1,0.0
279,200,352,1,0.0
280,200,352,1,0.0
281,200,352,1,0.0
282,200,352,1,0.0
283,100,352,1,0.0
284,200,352,1,0.0
285,200,352,1,0.0
286,200,352,1,0.0
287,200,352,1,0.0
288,200,352,1,0.0
289,200,352,1,0.0
290,200,352,1,0.0
291,200,352,1,0.0
292,200,352,1,0.0
293,200,352,1,0.0
294,200,352,1,800.1745243155735
295,200,352,1,0.0
296,200,352,1,0.0
297,150,8008,1,283.47779558260663
298,4200,39200,1,405.9207544534766
299,700,9408,1,185.30507269172443
300,467,4554,1,16.416588742510733
301,100,704,1,359.66329035275345
302,16300,27000,1,389.5596721103011
303,750,11400,1,520.5346722778482
304,3288,28125,2,638.7076747219592
305,300,2704,1,909.8317765877066
306,1450,23625,1,682.6292563682174
307,100,1040,1,507.9502231089684
308,1000,20736,1,324.9150250821556
309,1000,32400,1,294.2333985720693
310,1400,5376,2,521.705291984211
311,200,352,1,0.0
312,2400,31200,1,498.06019735296616
313,8700,60000,1,658.0139756534107
314,2300,6000,1,909.8317765877066
315,675,25200,1,373.9866471360409
316,10700,64512,1,485.7503214430742
317,850,12350,1,682.6292563682174
318,600,6720,1,899.4937839017383
319,300,5780,1,284.9337731874191
320,800,13600,1,299.62654415745556
321,1200,42875,1,513.3194199062656
322,500,5434,1,486.13219492372735
323,10700,64512,1,476.72099529710243
324,10700,64512,1,349.552472172633
325,100,1040,1,304.1889438673277
326,10700,64512,1,471.8188190494581
327,850,7072,1,88.9687175429348
328,5250,39780,1,175.55082086368975
329,2050,10800,1,197.8114908737252
330,100,2772,1,64.31608931827373
331,200,704,1,414.9743495299005
332,300,12150,1,651.3715625482223
333,633,6300,1,352.04589991432
334,600,7865,1,402.39893018816974
335,2900,8400,2,359.66329035275345
336,100,2772,1,690.172637728568
337,1800,3600,1,67.0410590822223
338,300,1560,2,245.15032452947523
339,150,832,1,486.13219492372735
340,650,23625,1,349.9729836368977
341,600,7728,1,295.7474647032192
342,950,23625,1,364.5957262502939
343,1300,12600,1,130.3930632382325
344,330,3024,1,899.2205607422046
345,2650,10335,1,0.0
346,10700,64512,1,345.56392560664654
347,10700,64512,1,341.73900079798534
348,10700,64512,1,320.98594246191055
349,5950,48000,1,749.4667442879864
350,1350,23625,1,725.4811053535067
351,400,352,1,0.0
352,1400,7875,1,364.5957262502939
353,1400,5376,1,612.5583016244516
354,467,4554,1,574.8018749064452
355,900,23625,1,359.66329035275345
356,400,3600,1,858.0152733953254
357,400,352,1,350.29068422767057
358,600,8004,1,520.5346722778482
359,2100,12000,1,88.9687175429348
360,3450,92400,1,839.8672856927336
361,2200,40000,1,130.3930632382325
362,100,1040,1,15.860920661702124
363,500,10080,1,323.56858625545084
364,400,352,1,221.78328940428054
365,600,12250,1,359.66329035275345
366,600,24000,1,359.66329035275345
367,150,832,2,19.224284314864192
368,200,624,1,557.2011862904205
369,1200,7644,1,175.55082086368975
370,900,11400,1,470.3204817308612
371,1100,5760,2,471.00258120868745
372,10700,64512,1,350.29068422767057
373,900,23625,1,605.5037364395652
374,10700,64512,1,806.8196035287993
375,2500,7875,1,682.6292563682174
376,2000,7875,1,682.6292563682174
377,600,2400,1,359.66329035275345
378,383,2520,1,301.75501098725977
379,700,4000,1,214.73427260242477
380,400,14985,6,379.71522893620306
381,538,9384,1,574.8018749064452
382,900,8000,1,486.13219492372735
383,150,880,2,400.6455874582712
384,600,1800,1,250.84331932677293
385,1300,13600,4,250.84331932677293
386,100,1040,1,0.0
387,7100,54144,1,668.4923052272055
388,150,1584,1,16.416588742510733
389,650,7560,1,334.6943515724306
390,4300,10571,1,471.00258120868745
391,100,4913,1,467.9105932752531
392,283,2700,2,714.6060930719785
393,750,11400,1,884.5005546354118
394,21800,72000,1,16.416588742510733
395,538,9384,1,350.29068422767057
396,400,3600,1,813.3565548858027
397,138,5168,1,674.301462478963
398,200,832,1,16.416588742510733
399,4000,23625,1,107.55513086727537
400,138,5168,1,449.81412987366343
401,5350,35475,4,736.0753966596592
402,1400,6450,1,519.3827876263183
403,900,23625,1,88.9687175429348
404,450,10000,1,514.3503045346374
405,400,17496,1,322.2616455291451
406,250,5566,1,426.0692299162775
407,700,1800,1,706.9788236103936
408,1800,5712,1,521.705291984211
409,1000,2400,1,682.6292563682174
410,500,20424,1,693.0299448313729
411,100,1040,2,486.13219492372735
412,625,12540,1,909.8317765877066
413,400,2000,2,574.8018749064452
414,1900,16660,1,696.7050474751277
415,175,630,1,910.3199177423467
416,417,3024,1,513.2490806299278
417,400,6776,1,590.390520799868
418,1700,33600,1,831.0214920485004
419,250,5566,1,411.6154512055896
420,175,630,1,449.81412987366343
421,900,11400,1,799.2837033958846
422,175,630,1,449.81412987366343
423,275,2304,1,991.3381747829706
